"Mfr Cd","Mfr Name","Engine Family","EF Sys#","Evap Family","EvF Sys#","Division","Carline","ECS-Ev","Displ","Tran","ETW","Ax Ratio","Dyno HP","Target Coeff A","Target Coeff B","Target Coeff C","Set Coeff A","Set Coeff B","Set Coeff C","Tst Prc","Tst Proc Desc","Fuel Typ","Fuel Type Description","Sales Area","U Life","Emission","Cert Level","Standard","Tier","Mult DF","Add DF"
20,"DaimlerChrysler","6CRXK0345370",1,"6CRXE0283GWH",1,"DODGE","RAM 2500 PICKUP 4WD","102",5.7,"L5 LOCK-UP/AUTOMATIC/5-SPEED",9000,4.1,48,"","","","","","",31,"FED FUEL 3 DAY EXH (BUTANE LOAD)",61,"TIER 2 UNLEADED","CA","120","CO",3.2,"6.4","L2",1.33,0
20,"DaimlerChrysler","6CRXK0345370",1,"6CRXE0283GWH",1,"DODGE","RAM 2500 PICKUP 4WD","102",5.7,"L5 LOCK-UP/AUTOMATIC/5-SPEED",9000,4.1,48,"","","","","","",31,"FED FUEL 3 DAY EXH (BUTANE LOAD)",61,"TIER 2 UNLEADED","CA","120","NMOG",.114,"0.195","L2",1,0
20,"DaimlerChrysler","6CRXK0345370",1,"6CRXE0283GWH",1,"DODGE","RAM 2500 PICKUP 4WD","102",5.7,"L5 LOCK-UP/AUTOMATIC/5-SPEED",9000,4.1,48,"","","","","","",31,"FED FUEL 3 DAY EXH (BUTANE LOAD)",61,"TIER 2 UNLEADED","CA","120","NOX",.2,"0.2","L2",1,0
20,"DaimlerChrysler","6CRXK0345470",1,"6CRXE0283GWH",1,"DODGE","RAM 2500 PICKUP 2WD","102",5.7,"L5 LOCK-UP/AUTOMATIC/5-SPEED",9500,4.1,48,"","","","","","",35,"CA FUEL 3 DAY EXH (BUTANE LOAD)",23,"CARB Phase II Gasoline","CA","120","CO",4.1,"7.3","L2",1.33,0
20,"DaimlerChrysler","6CRXK0345470",1,"6CRXE0283GWH",1,"DODGE","RAM 2500 PICKUP 2WD","102",5.7,"L5 LOCK-UP/AUTOMATIC/5-SPEED",9500,4.1,48,"","","","","","",35,"CA FUEL 3 DAY EXH (BUTANE LOAD)",23,"CARB Phase II Gasoline","CA","120","NMOG",.121,"0.230","L2",1,0
20,"DaimlerChrysler","6CRXK0345470",1,"6CRXE0283GWH",1,"DODGE","RAM 2500 PICKUP 2WD","102",5.7,"L5 LOCK-UP/AUTOMATIC/5-SPEED",9500,4.1,48,"","","","","","",35,"CA FUEL 3 DAY EXH (BUTANE LOAD)",23,"CARB Phase II Gasoline","CA","120","NOX",.2,"0.4","L2",1,0
20,"DaimlerChrysler","6CRXK0345470",1,"6CRXE0283GWH",1,"DODGE","RAM 2500 PICKUP 4WD","102",5.7,"L5 LOCK-UP/AUTOMATIC/5-SPEED",9000,4.1,48,"","","","","","",31,"FED FUEL 3 DAY EXH (BUTANE LOAD)",61,"TIER 2 UNLEADED","CA","120","CO",3.2,"7.3","L2",1.33,0
20,"DaimlerChrysler","6CRXK0345470",1,"6CRXE0283GWH",1,"DODGE","RAM 2500 PICKUP 4WD","102",5.7,"L5 LOCK-UP/AUTOMATIC/5-SPEED",9000,4.1,48,"","","","","","",31,"FED FUEL 3 DAY EXH (BUTANE LOAD)",61,"TIER 2 UNLEADED","CA","120","NMOG",.114,"0.230","L2",1,0
20,"DaimlerChrysler","6CRXK0345470",1,"6CRXE0283GWH",1,"DODGE","RAM 2500 PICKUP 4WD","102",5.7,"L5 LOCK-UP/AUTOMATIC/5-SPEED",9000,4.1,48,"","","","","","",31,"FED FUEL 3 DAY EXH (BUTANE LOAD)",61,"TIER 2 UNLEADED","CA","120","NOX",.2,"0.4","L2",1,0
20,"DaimlerChrysler","6CRXK05.7TX0",1,"6CRXE0283GWH",1,"DODGE","RAM 2500 PICKUP 2WD","102",5.7,"L5 LOCK-UP/AUTOMATIC/5-SPEED",9500,4.1,48,"","","","","","",31,"FED FUEL 3 DAY EXH (BUTANE LOAD)",61,"TIER 2 UNLEADED","FA","120","CO",4.8,"7.3","HDV",1.33,0
20,"DaimlerChrysler","6CRXK05.7TX0",1,"6CRXE0283GWH",1,"DODGE","RAM 2500 PICKUP 2WD","102",5.7,"L5 LOCK-UP/AUTOMATIC/5-SPEED",9500,4.1,48,"","","","","","",31,"FED FUEL 3 DAY EXH (BUTANE LOAD)",61,"TIER 2 UNLEADED","FA","120","NMOG",.15,"0.280","HDV",1,0
20,"DaimlerChrysler","6CRXK05.7TX0",1,"6CRXE0283GWH",1,"DODGE","RAM 2500 PICKUP 2WD","102",5.7,"L5 LOCK-UP/AUTOMATIC/5-SPEED",9500,4.1,48,"","","","","","",31,"FED FUEL 3 DAY EXH (BUTANE LOAD)",61,"TIER 2 UNLEADED","FA","120","NOX",.3,"0.9","HDV",1,0
