VI_MFR_CD,VI_MFR_NM,EF_ID,EFS_NUM,EVF_ID,EVFS_NUM,DVSN_NM,CL_ABRV_NM,EVCS_CD,VC_DISPL_MSR,TRANS_CNFG_DSC_TXT,VC_DSN_ETW_MSR,VC_AXLE_RAT_MSR,TPF_DYNO_HP_MSR,TPF_DYN_TRK_A_MSR,TPF_DYN_TRK_B_MSR,TPF_DYN_TRK_C_MSR,TPF_EDYN_TRK_A_MSR,TPF_EDYN_TRK_B_MSR,TPF_EDYN_TRK_C_MSR,TST_PRC_CD,TST_PRC_DSC_TXT,VEH_FL_TYP_CD,VEH_FL_TYP_DSC_TXT,SA_CD,ESX_UL_MSR,EMSN_SHRT_NM,ERER_CRT_LVL_MSR,ESX_EMSN_STD_TXT,TIER_CD,ESX_MLT_DF_QTY,ESX_ADD_DF_QTY
20,Chrysler LLC,9CRXD05.78V0,1,9CRXF0283TC0,1,DODGE,RAM 2500 PICKUP 2WD,102,5.70,L5 LOCK-UP/AUTOMATIC/5-SPEED,8000,3.73,25.60,74.80,0.7072,0.032850,21.8590,0.4606,0.031810,31,FED FUEL 3 DAY EXH (BUTANE LOAD),61,TIER 2 UNLEADED,CA,120,CO,1.70,6.4,L2,1.33,0
20,Chrysler LLC,9CRXD05.78V0,1,9CRXF0283TC0,1,DODGE,RAM 2500 PICKUP 2WD,102,5.70,L5 LOCK-UP/AUTOMATIC/5-SPEED,8000,3.73,25.60,74.80,0.7072,0.032850,21.8590,0.4606,0.031810,31,FED FUEL 3 DAY EXH (BUTANE LOAD),61,TIER 2 UNLEADED,CA,120,NMOG,0.0750,0.195,L2,1,0
20,Chrysler LLC,9CRXD05.78V0,1,9CRXF0283TC0,1,DODGE,RAM 2500 PICKUP 2WD,102,5.70,L5 LOCK-UP/AUTOMATIC/5-SPEED,8000,3.73,25.60,74.80,0.7072,0.032850,21.8590,0.4606,0.031810,31,FED FUEL 3 DAY EXH (BUTANE LOAD),61,TIER 2 UNLEADED,CA,120,NOX,0.10,0.2,L2,1,0
20,Chrysler LLC,9CRXD05.78V0,1,9CRXF0283TC0,1,DODGE,RAM 2500 PICKUP 2WD,102,5.70,L5 LOCK-UP/AUTOMATIC/5-SPEED,8000,3.73,25.60,74.80,0.7072,0.032850,21.8590,0.4606,0.031810,31,FED FUEL 3 DAY EXH (BUTANE LOAD),61,TIER 2 UNLEADED,FA,120,CO,1.70,7.3,HDV,1.33,0
20,Chrysler LLC,9CRXD05.78V0,1,9CRXF0283TC0,1,DODGE,RAM 2500 PICKUP 2WD,102,5.70,L5 LOCK-UP/AUTOMATIC/5-SPEED,8000,3.73,25.60,74.80,0.7072,0.032850,21.8590,0.4606,0.031810,31,FED FUEL 3 DAY EXH (BUTANE LOAD),61,TIER 2 UNLEADED,FA,120,NMOG,0.0750,0.195,HDV,1,0
20,Chrysler LLC,9CRXD05.78V0,1,9CRXF0283TC0,1,DODGE,RAM 2500 PICKUP 2WD,102,5.70,L5 LOCK-UP/AUTOMATIC/5-SPEED,8000,3.73,25.60,74.80,0.7072,0.032850,21.8590,0.4606,0.031810,31,FED FUEL 3 DAY EXH (BUTANE LOAD),61,TIER 2 UNLEADED,FA,120,NOX,0.10,0.2,HDV,1,0
20,Chrysler LLC,9CRXD05.78V0,1,9CRXR0283TC1,1,DODGE,RAM 2500 PICKUP 2WD,102,5.70,L5 LOCK-UP/AUTOMATIC/5-SPEED,8000,3.73,25.60,74.80,0.7072,0.032850,21.8590,0.4606,0.031810,31,FED FUEL 3 DAY EXH (BUTANE LOAD),61,TIER 2 UNLEADED,CA,120,CO,1.70,6.4,L2,1.33,0
20,Chrysler LLC,9CRXD05.78V0,1,9CRXR0283TC1,1,DODGE,RAM 2500 PICKUP 2WD,102,5.70,L5 LOCK-UP/AUTOMATIC/5-SPEED,8000,3.73,25.60,74.80,0.7072,0.032850,21.8590,0.4606,0.031810,31,FED FUEL 3 DAY EXH (BUTANE LOAD),61,TIER 2 UNLEADED,CA,120,NMOG,0.0750,0.195,L2,1,0
20,Chrysler LLC,9CRXD05.78V0,1,9CRXR0283TC1,1,DODGE,RAM 2500 PICKUP 2WD,102,5.70,L5 LOCK-UP/AUTOMATIC/5-SPEED,8000,3.73,25.60,74.80,0.7072,0.032850,21.8590,0.4606,0.031810,31,FED FUEL 3 DAY EXH (BUTANE LOAD),61,TIER 2 UNLEADED,CA,120,NOX,0.10,0.2,L2,1,0
20,Chrysler LLC,9CRXD05.78V0,1,9CRXR0283TC1,1,DODGE,RAM 2500 PICKUP 2WD,102,5.70,L5 LOCK-UP/AUTOMATIC/5-SPEED,8000,3.73,25.60,74.80,0.7072,0.032850,21.8590,0.4606,0.031810,31,FED FUEL 3 DAY EXH (BUTANE LOAD),61,TIER 2 UNLEADED,FA,120,CO,1.70,7.3,HDV,1.33,0
