Mfr Cd	Mfr Name	Engine Family	EF Sys#	Evap Family	EvF Sys#	Division	Carline	ECS-1	ECS-1 Description	ECS-2	ECS=2 Description	ECS-3	ECS-3 Description	ECS-4	ECS-4 Description	ECS-5	ECS-5 Description	ECS-Ev	ECS-Ev Description	Displ	Tran	ETW	Ax Ratio	TPF_DYNO_HP_MSR	Tst Prc	Tst Proc Desc	Fuel Typ	Fuel Type Description	Sales Area	U Life	Emission	Cert Level	Standard	Tier	Mult DF	Add DF
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G3H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.21	14.2	35	CA FUEL 3 DAY EXH (BUTANE LOAD)	23	CARB Phase II Gasoline	CA	120	CO	4.1	6.4	T1	1	2.86
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G3H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.21	14.2	35	CA FUEL 3 DAY EXH (BUTANE LOAD)	23	CARB Phase II Gasoline	CA	120	HC-NM	.3	0.46	T1	1	.161
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G3H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.21	14.2	35	CA FUEL 3 DAY EXH (BUTANE LOAD)	23	CARB Phase II Gasoline	CA	120	NOX	.7	0.98	T1	1	.495
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G3H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.21	14.2	35	CA FUEL 3 DAY EXH (BUTANE LOAD)	23	CARB Phase II Gasoline	CA	50	CO	2.4	4.4	T1	1	1.13
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G3H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.21	14.2	35	CA FUEL 3 DAY EXH (BUTANE LOAD)	23	CARB Phase II Gasoline	CA	50	HC-NM	.2	0.32	T1	1	.064
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G3H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.21	14.2	35	CA FUEL 3 DAY EXH (BUTANE LOAD)	23	CARB Phase II Gasoline	CA	50	NOX	.4	0.7	T1	1	.196
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G3H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.21		11	COLD CO	24	COLD CO REGULAR(CERT)	CA	50	CO-COLD	5.9	12.5	N/A	1	1.13
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G3H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.55	16	25	CA FUEL 2 DAY EXH (BUTANE LOAD)	23	CARB Phase II Gasoline	CA	120	CO	4.2	6.4	T1	1	2.86
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G3H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.55	16	25	CA FUEL 2 DAY EXH (BUTANE LOAD)	23	CARB Phase II Gasoline	CA	120	HC-NM	.27	0.46	T1	1	.161
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G3H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.55	16	25	CA FUEL 2 DAY EXH (BUTANE LOAD)	23	CARB Phase II Gasoline	CA	120	NOX	.6	0.98	T1	1	.495
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G3H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.55	16	25	CA FUEL 2 DAY EXH (BUTANE LOAD)	23	CARB Phase II Gasoline	CA	50	CO	2.4	4.4	T1	1	1.13
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G3H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.55	16	25	CA FUEL 2 DAY EXH (BUTANE LOAD)	23	CARB Phase II Gasoline	CA	50	HC-NM	.18	0.32	T1	1	.064
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G3H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.55	16	25	CA FUEL 2 DAY EXH (BUTANE LOAD)	23	CARB Phase II Gasoline	CA	50	NOX	.3	0.7	T1	1	.196
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G4H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.21	14.2	35	CA FUEL 3 DAY EXH (BUTANE LOAD)	23	CARB Phase II Gasoline	CA	120	CO	4.1	6.4	T1	1	2.86
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G4H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.21	14.2	35	CA FUEL 3 DAY EXH (BUTANE LOAD)	23	CARB Phase II Gasoline	CA	120	HC-NM	.3	0.46	T1	1	.161
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G4H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.21	14.2	35	CA FUEL 3 DAY EXH (BUTANE LOAD)	23	CARB Phase II Gasoline	CA	120	NOX	.7	0.98	T1	1	.495
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G4H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.21	14.2	35	CA FUEL 3 DAY EXH (BUTANE LOAD)	23	CARB Phase II Gasoline	CA	50	CO	2.4	4.4	T1	1	1.13
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G4H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.21	14.2	35	CA FUEL 3 DAY EXH (BUTANE LOAD)	23	CARB Phase II Gasoline	CA	50	HC-NM	.2	0.32	T1	1	.064
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G4H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.21	14.2	35	CA FUEL 3 DAY EXH (BUTANE LOAD)	23	CARB Phase II Gasoline	CA	50	NOX	.4	0.7	T1	1	.196
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G4H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.21		11	COLD CO	24	COLD CO REGULAR(CERT)	CA	50	CO-COLD	5.9	12.5	N/A	1	1.13
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G4H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.55	16	25	CA FUEL 2 DAY EXH (BUTANE LOAD)	23	CARB Phase II Gasoline	CA	120	CO	4.2	6.4	T1	1	2.86
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G4H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.55	16	25	CA FUEL 2 DAY EXH (BUTANE LOAD)	23	CARB Phase II Gasoline	CA	120	HC-NM	.27	0.46	T1	1	.161
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G4H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.55	16	25	CA FUEL 2 DAY EXH (BUTANE LOAD)	23	CARB Phase II Gasoline	CA	120	NOX	.6	0.98	T1	1	.495
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G4H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.55	16	25	CA FUEL 2 DAY EXH (BUTANE LOAD)	23	CARB Phase II Gasoline	CA	50	CO	2.4	4.4	T1	1	1.13
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G4H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.55	16	25	CA FUEL 2 DAY EXH (BUTANE LOAD)	23	CARB Phase II Gasoline	CA	50	HC-NM	.18	0.32	T1	1	.064
20	DaimlerChrysler	XCRXA0239H11	1	XCRXE0174G4H	1	DODGE	B1500 VAN 2WD	20	THREE-WAY CAT + CLOSED LOOP	99	OTHER							102	CANISTER	3.9	L3 LOCK-UP/AUTOMATIC/3-SPEED	5500	3.55	16	25	CA FUEL 2 DAY EXH (BUTANE LOAD)	23	CARB Phase II Gasoline	CA	50	NOX	.3	0.7	T1	1	.196
